movie_id,movie_name,director,writer,stars,description,poster,year_genre,total_weighted,num_ratings
1417313,Young Elite,Anna Kishko,,"Marynka Boyko, Bogdan Ruban, Katy shabelinskaya","At a school where money means everything, Hannah is an outsider. Alex should be her worst enemy, but fate has other plans.",movie_posters/1417313.jpg,2025 | Romance/Drama | 1h 17m,100,100
8292,Four Brothers,John Singleton,"David Elliot, Paul Lovett","Mark Wahlberg, Tyrese Gibson, André 3000",Four adopted brothers return to their Detroit hometown when their mother is murdered and vow to exact revenge on the killers.,movie_posters/8292.jpg,2005 | Action/Crime | 1h 49m,680.4,100
274854,The Last Witch Hunter,Breck Eisner,"Matt Sazama, Cory Goodman, Burk Sharpless, Jay Oliva","Vin Diesel, Rose Leslie, Elijah Wood","The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",movie_posters/274854.jpg,2015 | Fantasy/Action/Adventure/Horror | 1h 46m,599.1,100
158015,The Purge,James DeMonaco,James DeMonaco,"Ethan Hawke, Lena Headey, Max Burkholder","Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.",movie_posters/158015.jpg,2013 | Science Fiction/Horror/Thriller | 1h 26m,625.3,100
23827,Paranormal Activity,Oren Peli,"Oren Peli, Oren Peli, Oren Peli, Oren Peli","Katie Featherston, Micah Sloat, Mark Fredrichs","After a young, middle-class couple moves into what seems like a typical suburban house, they become increasingly disturbed by a presence that may or may not be demonic but is certainly the most active in the middle of the night.",movie_posters/23827.jpg,2007 | Horror/Mystery | 1h 26m,602,100
290250,The Nice Guys,Shane Black,"Shane Black, Anthony Bagarozzi","Russell Crowe, Ryan Gosling, Angourie Rice",A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,movie_posters/290250.jpg,2016 | Comedy/Crime/Action | 1h 56m,712.2,100
645757,That Christmas,Simon Otto,"Richard Curtis, Richard Curtis, Peter Souter, Ashley Boddy","Brian Cox, Bill Nighy, Fiona Shaw",It's an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone's plans — including Santa's.,movie_posters/645757.jpg,2024 | Animation/Comedy/Family/Fantasy/Adventure | 1h 31m,717.3,100
484641,Anna,Luc Besson,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans",Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.,movie_posters/484641.jpg,2019 | Action/Adventure/Thriller | 1h 59m,670.4,100
192558,Aashiqui 2,Mohit Suri,"Shagufta Rafique, Irshad Kamil, Sandeep Nath, Mithoon Sharma","Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa","A young woman meets a failing musician who launches her singing career, but their relationship is doomed when people assume he's with her for her fame and fortune.",movie_posters/192558.jpg,2013 | Drama/Romance | 2h 12m,680,100
501929,The Mitchells vs. the Machines,Mike Rianda,"Guillermo Martinez, Vitaliy Strokous, Brandon Jeffords, Kasey Fagerquist, Rachel Kral, Ben Mansfield, Hanna Cho, Justin Hunt, Andrew James Ross, Ray Xu, Koko Wing Hei Chou, Caitlin VanArsdale, Myke Bakich, Quinne Larsen, Jeff Rowe, Mike Rianda","Abbi Jacobson, Danny McBride, Maya Rudolph","A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",movie_posters/501929.jpg,2021 | Animation/Adventure/Comedy | 1h 50m,788.5,100
11351,Jeepers Creepers 2,Victor Salva,"Victor Salva, Victor Salva","Ray Wise, Jonathan Breck, Nicki Aycox","When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive.",movie_posters/11351.jpg,2003 | Horror/Thriller | 1h 44m,610,100
